date,flow_cms,flow_symbol,level_m,level_symbol
1925-02-17,139.000,,162.5500,
1925-02-18,139.000,,162.5400,
1925-02-19,139.000,,162.5500,
1925-02-20,139.000,,162.5400,
1925-02-21,139.000,,162.5400,
1925-02-22,139.000,,162.5400,
1925-02-23,139.000,,162.5600,
1925-02-24,139.000,,162.5600,
1925-02-25,139.000,,162.5600,
1925-02-26,139.000,,162.5700,
1925-02-27,139.000,,162.5700,
1925-02-28,139.000,,162.5700,
1925-03-01,151.000,,162.5700,
1925-03-02,151.000,,162.5800,
1925-03-03,151.000,,162.5700,
1925-03-04,151.000,,162.5700,
1925-03-05,151.000,,162.5700,
1925-03-06,151.000,,162.5700,
1925-03-07,151.000,,162.5600,
1925-03-08,151.000,,162.5600,
1925-03-09,151.000,,162.5600,
1925-03-10,151.000,,162.5800,
1925-03-11,151.000,,162.5800,
1925-03-12,151.000,,162.5800,
1925-03-13,151.000,,162.5800,
1925-03-14,151.000,,162.5800,
1925-03-15,151.000,,162.5800,
1925-03-16,151.000,,162.5800,
1925-03-17,151.000,,162.5800,
1925-03-18,151.000,,162.5800,
1925-03-19,151.000,,162.5900,
1925-03-20,151.000,,162.6000,
1925-03-21,151.000,,162.6000,
1925-03-22,151.000,,162.6000,
1925-03-23,151.000,,162.5900,
1925-03-24,151.000,,162.5900,
1925-03-25,151.000,,162.5700,
1925-03-26,151.000,,162.6000,
1925-03-27,151.000,,162.7200,
1925-03-28,151.000,,162.7600,
1925-03-29,151.000,,162.9900,
1925-03-30,151.000,,163.2100,
1925-03-31,151.000,,163.7300,
1925-04-01,651.000,,163.9300,
1925-04-02,651.000,,164.1000,
1925-04-03,651.000,,164.4000,
1925-04-04,651.000,,164.6800,
1925-04-05,651.000,,164.8600,
1925-04-06,651.000,,165.0600,
1925-04-07,651.000,,165.1600,
1925-04-08,651.000,,165.1400,
1925-04-09,651.000,,165.0000,
1925-04-10,651.000,,164.9800,
1925-04-11,651.000,,165.0600,
1925-04-12,651.000,,165.0300,
1925-04-13,651.000,,164.9700,
1925-04-14,651.000,,164.9200,
1925-04-15,651.000,,164.9900,
1925-04-16,651.000,,165.0400,
1925-04-17,651.000,,165.0100,
1925-04-18,651.000,,164.9800,
1925-04-19,651.000,,164.8900,
1925-04-20,651.000,,164.8300,
1925-04-21,651.000,,164.6900,
1925-04-22,702.000,,164.5600,
1925-04-23,699.000,,164.5600,
1925-04-24,702.000,,164.5600,
1925-04-25,725.000,,164.6600,
1925-04-26,750.000,,164.7500,
1925-04-27,821.000,,165.0400,
1925-04-28,875.000,,165.2600,
1925-04-29,940.000,,165.4500,
1925-04-30,985.000,,165.7000,
1925-05-01,1010.000,,165.7900,
1925-05-02,1030.000,,165.8900,
1925-05-03,1060.000,,165.9900,
1925-05-04,1110.000,,166.2000,
1925-05-05,1140.000,,166.3100,
1925-05-06,1140.000,,166.3100,
1925-05-07,1140.000,,166.3000,
1925-05-08,1130.000,,166.2700,
1925-05-09,1120.000,,166.2300,
1925-05-10,1080.000,,166.0900,
1925-05-11,1050.000,,165.9400,
1925-05-12,1040.000,,165.9200,
1925-05-13,1040.000,,165.9100,
1925-05-14,1020.000,,165.8400,
1925-05-15,1010.000,,165.7800,
1925-05-16,963.000,,165.6000,
1925-05-17,940.000,,165.5200,
1925-05-18,912.000,,165.4000,
1925-05-19,886.000,,165.3100,
1925-05-20,864.000,,165.2100,
1925-05-21,852.000,,165.1600,
1925-05-22,824.000,,165.0600,
1925-05-23,827.000,,165.0600,
1925-05-24,830.000,,165.0700,
1925-05-25,844.000,,165.1300,
1925-05-26,861.000,,165.2000,
1925-05-27,796.000,,164.9300,
1925-05-28,739.000,,164.7100,
1925-05-29,719.000,,164.6300,
1925-05-30,688.000,,164.5100,
1925-05-31,671.000,,164.4500,
1925-06-01,648.000,,164.3600,
1925-06-02,654.000,,164.3700,
1925-06-03,657.000,,164.3800,
1925-06-04,663.000,,164.4000,
1925-06-05,665.000,,164.4200,
1925-06-06,671.000,,164.4500,
1925-06-07,685.000,,164.5000,
1925-06-08,697.000,,164.5400,
1925-06-09,714.000,,164.6200,
1925-06-10,742.000,,164.7300,
1925-06-11,745.000,,164.7400,
1925-06-12,748.000,,164.7500,
1925-06-13,733.000,,164.6900,
1925-06-14,716.000,,164.6400,
1925-06-15,714.000,,164.6100,
1925-06-16,711.000,,164.6000,
1925-06-17,705.000,,164.5800,
1925-06-18,697.000,,164.5500,
1925-06-19,691.000,,164.5200,
1925-06-20,691.000,,164.5200,
1925-06-21,688.000,,164.5100,
1925-06-22,685.000,,164.5000,
1925-06-23,682.000,,164.4900,
1925-06-24,671.000,,164.4400,
1925-06-25,637.000,,164.3100,
1925-06-26,620.000,,164.5700,
1925-06-27,612.000,,164.2000,
1925-06-28,614.000,,164.2200,
1925-06-29,609.000,,164.2000,
1925-06-30,603.000,,164.1700,
1925-07-01,586.000,,164.1000,
1925-07-02,572.000,,164.0400,
1925-07-03,561.000,,164.0100,
1925-07-04,549.000,,163.9600,
1925-07-05,541.000,,163.9200,
1925-07-06,521.000,,163.8500,
1925-07-07,515.000,,163.8100,
1925-07-08,507.000,,163.7900,
1925-07-09,501.000,,163.7600,
1925-07-10,493.000,,163.7200,
1925-07-11,484.000,,163.7000,
1925-07-12,470.000,,163.6400,
1925-07-13,462.000,,163.6000,
1925-07-14,447.000,,163.5500,
1925-07-15,428.000,,163.4800,
1925-07-16,425.000,,163.4600,
1925-07-17,413.000,,163.4500,
1925-07-18,425.000,,163.4600,
1925-07-19,419.000,,163.4400,
1925-07-20,413.000,,163.4200,
1925-07-21,405.000,,163.3800,
1925-07-22,402.000,,163.3700,
1925-07-23,411.000,,163.4900,
1925-07-24,411.000,,163.6300,
1925-07-25,411.000,,163.7400,
1925-07-26,411.000,,163.8300,
1925-07-27,411.000,,163.9100,
1925-07-28,411.000,,163.9200,
1925-07-29,411.000,,163.9100,
1925-07-30,411.000,,163.9000,
1925-07-31,411.000,,163.9900,
1925-08-01,405.000,,164.0800,
1925-08-02,405.000,,164.1000,
1925-08-03,405.000,,164.0400,
1925-08-04,405.000,,163.9500,
1925-08-05,405.000,,163.8500,
1925-08-06,405.000,,163.7400,
1925-08-07,405.000,,163.6200,
1925-08-08,405.000,,163.5200,
1925-08-09,405.000,,163.4300,
1925-08-10,391.000,,163.3200,
1925-08-11,385.000,,163.3000,
1925-08-12,382.000,,163.2900,
1925-08-13,396.000,,163.3500,
1925-08-14,405.000,,163.3800,
1925-08-15,391.000,,163.3200,
1925-08-16,365.000,,163.2200,
1925-08-17,354.000,,163.1700,
1925-08-18,334.000,,163.0900,
1925-08-19,314.000,,163.0300,
1925-08-20,303.000,,162.9400,
1925-08-21,292.000,,162.8800,
1925-08-22,286.000,,162.8500,
1925-08-23,275.000,,162.7900,
1925-08-24,269.000,,162.7600,
1925-08-25,263.000,,162.7400,
1925-08-26,263.000,,162.7300,
1925-08-27,258.000,,162.7100,
1925-08-28,252.000,,162.6700,
1925-08-29,241.000,,162.6000,
1925-08-30,216.000,,162.4600,
1925-08-31,208.000,,162.4100,
1925-09-01,197.000,,162.3500,
1925-09-02,192.000,,162.3200,
1925-09-03,186.000,,162.2800,
1925-09-04,174.000,,162.2100,
1925-09-05,168.000,,162.1700,
1925-09-06,165.000,,162.1500,
1925-09-07,160.000,,162.1300,
1925-09-08,155.000,,162.0900,
1925-09-09,149.000,,162.0600,
1925-09-10,141.000,,162.0100,
1925-09-11,142.000,,162.0200,
1925-09-12,135.000,,161.9700,
1925-09-13,133.000,,161.9600,
1925-09-14,127.000,,161.9200,
1925-09-15,125.000,,161.9100,
1925-09-16,122.000,,161.8900,
1925-09-17,119.000,,161.8600,
1925-09-18,120.000,,161.8700,
1925-09-19,118.000,,161.8600,
1925-09-20,125.000,,161.9000,
1925-09-21,128.000,,161.9300,
1925-09-22,125.000,,161.9100,
1925-09-23,121.000,,161.8800,
1925-09-24,129.000,,161.9300,
1925-09-25,137.000,,161.9900,
1925-09-26,143.000,,162.0300,
1925-09-27,160.000,,162.1200,
1925-09-28,168.000,,162.1700,
1925-09-29,174.000,,162.2100,
1925-09-30,178.000,,162.2300,
1925-10-01,159.000,,162.2500,
1925-10-02,165.000,,162.2800,
1925-10-03,169.000,,162.3100,
1925-10-04,170.000,,162.3200,
1925-10-05,172.000,,162.3200,
1925-10-06,178.000,,162.3600,
1925-10-07,180.000,,162.3700,
1925-10-08,182.000,,162.3800,
1925-10-09,182.000,,162.3900,
1925-10-10,177.000,,162.3500,
1925-10-11,170.000,,162.3100,
1925-10-12,167.000,,162.2900,
1925-10-13,163.000,,162.2700,
1925-10-14,161.000,,162.2600,
1925-10-15,154.000,,162.2100,
1925-10-16,150.000,,162.1800,
1925-10-17,145.000,,162.1500,
1925-10-18,153.000,,162.2100,
1925-10-19,159.000,,162.2500,
1925-10-20,165.000,,162.2800,
1925-10-21,172.000,,162.3200,
1925-10-22,179.000,,162.3700,
1925-10-23,180.000,,162.3700,
1925-10-24,181.000,,162.3800,
1925-10-25,179.000,,162.3600,
1925-10-26,175.000,,162.3400,
1925-10-27,174.000,,162.3400,
1925-10-28,170.000,,162.3200,
1925-10-29,165.000,,162.2800,
1925-10-30,163.000,,162.2700,
1925-10-31,160.000,,162.2500,
1925-11-01,159.000,,162.2400,
1925-11-02,153.000,,162.2100,
1925-11-03,152.000,,162.2000,
1925-11-04,151.000,,162.1900,
1925-11-05,149.000,,162.1800,
1925-11-06,144.000,,162.1500,
1925-11-07,148.000,,162.1700,
1925-11-08,151.000,,162.1900,
1925-11-09,153.000,,162.2100,
1925-11-10,154.000,,162.2100,
1925-11-11,156.000,,162.2200,
1925-11-12,156.000,,162.2300,
1925-11-13,164.000,,162.2800,
1925-11-14,189.000,,162.4200,
1925-11-15,248.000,,162.7300,
1925-11-16,292.000,,162.9100,
1925-11-17,311.000,,162.9900,
1925-11-18,334.000,,163.0800,
1925-11-19,343.000,,163.1200,
1925-11-20,348.000,,163.1400,
1925-11-21,348.000,,163.1400,
1925-11-22,345.000,,163.1300,
1925-11-23,334.000,,163.0900,
1925-11-24,255.000,B,163.0400,
1925-11-25,255.000,B,162.9800,
1925-11-26,255.000,B,162.8800,
1925-11-27,255.000,B,162.8200,
1925-11-28,255.000,B,162.7800,
1925-11-29,255.000,B,162.7600,
1925-11-30,255.000,B,163.2100,
1925-12-01,240.000,B,162.6000,
1925-12-02,240.000,B,162.5900,
1925-12-03,240.000,B,162.5800,
1925-12-04,240.000,B,162.5900,
1925-12-05,240.000,B,162.7000,
1925-12-06,240.000,B,162.8800,
1925-12-07,240.000,B,163.0000,
1925-12-08,240.000,B,163.0700,
1925-12-09,240.000,B,163.1300,
1925-12-10,240.000,B,163.3400,
1925-12-11,240.000,B,163.3600,
1925-12-12,240.000,B,163.3700,
1925-12-13,240.000,B,163.3700,
1925-12-14,240.000,B,163.0900,
1925-12-15,240.000,B,163.3600,
1925-12-16,240.000,B,163.3400,
1925-12-17,240.000,B,163.3100,
1925-12-18,240.000,B,163.2500,
1925-12-19,240.000,B,163.2300,
1925-12-20,240.000,B,163.1600,
1925-12-21,240.000,B,163.1400,
1925-12-22,240.000,B,163.1200,
1925-12-23,240.000,B,163.1000,
1925-12-24,240.000,B,163.0700,
1925-12-25,240.000,B,163.0000,
1925-12-26,240.000,B,162.9600,
1925-12-27,240.000,B,162.9400,
1925-12-28,240.000,B,162.9100,
1925-12-29,240.000,B,162.8900,
1925-12-30,240.000,B,162.8600,
1925-12-31,240.000,B,162.8500,
1926-01-01,149.000,B,162.7700,
1926-01-02,149.000,B,162.7800,
1926-01-03,149.000,B,162.7900,
1926-01-04,149.000,B,162.7800,
1926-01-05,149.000,B,162.7800,
1926-01-06,149.000,B,162.7700,
1926-01-07,149.000,B,162.7100,
1926-01-08,149.000,B,162.6800,
1926-01-09,149.000,B,162.6800,
1926-01-10,149.000,B,162.6700,
1926-01-11,149.000,B,162.6800,
1926-01-12,149.000,B,162.6800,
1926-01-13,149.000,B,162.6200,
1926-01-14,149.000,B,162.6200,
1926-01-15,149.000,B,162.6200,
1926-01-16,149.000,B,162.6200,
1926-01-17,149.000,B,162.6300,
1926-01-18,149.000,B,162.6400,
1926-01-19,149.000,B,162.6400,
1926-01-20,149.000,B,162.6300,
1926-01-21,149.000,B,162.6400,
1926-01-22,149.000,B,162.6400,
1926-01-23,149.000,B,162.6300,
1926-01-24,149.000,B,162.6500,
1926-01-25,149.000,B,162.6600,
1926-01-26,149.000,B,162.6600,
1926-01-27,149.000,B,162.5400,
1926-01-28,149.000,B,162.5400,
1926-01-29,149.000,B,162.5400,
1926-01-30,149.000,B,162.5400,
1926-01-31,149.000,B,162.5500,
1926-02-01,101.000,B,162.4700,
1926-02-02,101.000,B,162.4700,
1926-02-03,101.000,B,162.4700,
1926-02-04,101.000,B,162.4300,
1926-02-05,101.000,B,162.4300,
1926-02-06,101.000,B,162.4100,
1926-02-07,101.000,B,162.3800,
1926-02-08,101.000,B,162.3500,
1926-02-09,101.000,B,162.3200,
1926-02-10,101.000,B,162.3000,
1926-02-11,101.000,B,162.3000,
1926-02-12,101.000,B,162.2700,
1926-02-13,101.000,B,162.2700,
1926-02-14,101.000,B,162.2500,
1926-02-15,101.000,B,162.2500,
1926-02-16,101.000,B,162.2200,
1926-02-17,101.000,B,162.2300,
1926-02-18,101.000,B,162.2100,
1926-02-19,101.000,B,162.2100,
1926-02-20,101.000,B,162.2100,
1926-02-21,101.000,B,162.1900,
1926-02-22,101.000,B,162.2000,
1926-02-23,101.000,B,162.2000,
1926-02-24,101.000,B,162.2100,
1926-02-25,101.000,B,162.2100,
1926-02-26,101.000,B,162.2300,
1926-02-27,101.000,B,162.2400,
1926-02-28,101.000,B,162.2500,
1926-03-01,94.900,B,162.2200,
1926-03-02,94.900,B,162.2300,
1926-03-03,94.900,B,162.2400,
1926-03-04,94.900,B,162.2500,
1926-03-05,94.900,B,162.2500,
1926-03-06,94.900,B,162.2600,
1926-03-07,94.900,B,162.2600,
1926-03-08,94.900,B,162.2600,
1926-03-09,94.900,B,162.2600,
1926-03-10,94.900,B,162.2700,
1926-03-11,94.900,B,162.2800,
1926-03-12,94.900,B,162.2900,
1926-03-13,94.900,B,162.2900,
1926-03-14,94.900,B,162.3000,
1926-03-15,94.900,B,162.3000,
1926-03-16,94.900,B,162.3200,
1926-03-17,94.900,B,162.3200,
1926-03-18,94.900,B,162.3200,
1926-03-19,94.900,B,162.3200,
1926-03-20,94.900,B,162.3100,
1926-03-21,94.900,B,162.2900,
1926-03-22,94.900,B,162.2700,
1926-03-23,94.900,B,162.2800,
1926-03-24,94.900,B,162.2700,
1926-03-25,94.900,B,162.2700,
1926-03-26,94.900,B,162.2700,
1926-03-27,94.900,B,162.2900,
1926-03-28,94.900,B,162.3100,
1926-03-29,94.900,B,162.3000,
1926-03-30,94.900,B,162.2900,
1926-03-31,94.900,B,162.2700,
1926-04-01,110.000,B,162.2700,
1926-04-02,110.000,B,162.2700,
1926-04-03,110.000,B,162.2600,
1926-04-04,110.000,B,162.3200,
1926-04-05,110.000,B,162.3000,
1926-04-06,110.000,B,162.2900,
1926-04-07,110.000,B,162.2800,
1926-04-08,110.000,B,162.2800,
1926-04-09,110.000,B,162.2900,
1926-04-10,110.000,B,162.3000,
1926-04-11,110.000,B,162.3100,
1926-04-12,110.000,B,162.3000,
1926-04-13,110.000,B,162.2800,
1926-04-14,110.000,B,162.2700,
1926-04-15,110.000,B,162.2500,
1926-04-16,110.000,B,162.2600,
1926-04-17,110.000,B,162.2700,
1926-04-18,110.000,B,162.2800,
1926-04-19,110.000,B,162.2800,
1926-04-20,110.000,B,162.2900,
1926-04-21,110.000,B,162.2900,
1926-04-22,110.000,B,162.1400,
1926-04-23,110.000,B,162.5100,
1926-04-24,110.000,B,162.7600,
1926-04-25,110.000,B,163.1100,
1926-04-26,110.000,B,163.5500,
1926-04-27,110.000,B,163.5700,
1926-04-28,110.000,B,163.6300,
1926-04-29,110.000,B,163.6300,
1926-04-30,110.000,B,163.5300,
1926-05-01,510.000,B,163.4900,
1926-05-02,510.000,B,163.4900,
1926-05-03,510.000,B,164.1900,
1926-05-04,510.000,B,164.5300,
1926-05-05,510.000,B,164.7700,
1926-05-06,510.000,B,164.8900,
1926-05-07,510.000,B,165.0200,
1926-05-08,903.000,,165.3800,
1926-05-09,1000.000,,165.7500,
1926-05-10,1060.000,,165.9800,
1926-05-11,1090.000,,166.1000,
1926-05-12,1120.000,,166.2300,
1926-05-13,1190.000,,166.4800,
1926-05-14,1200.000,,166.5200,
1926-05-15,1220.000,,166.5900,
1926-05-16,1170.000,,166.4000,
1926-05-17,1180.000,,166.4300,
1926-05-18,1210.000,,166.5400,
1926-05-19,1210.000,,166.5600,
1926-05-20,1240.000,,166.6700,
1926-05-21,1260.000,,166.7300,
1926-05-22,1270.000,,166.7900,
1926-05-23,1280.000,,166.8100,
1926-05-24,1290.000,,166.8400,
1926-05-25,1300.000,,166.8900,
1926-05-26,1280.000,,166.8400,
1926-05-27,1260.000,,166.7400,
1926-05-28,1220.000,,166.6000,
1926-05-29,1090.000,,166.0800,
1926-05-30,1130.000,,166.2300,
1926-05-31,1160.000,,166.3600,
1926-06-01,1040.000,,165.8900,
1926-06-02,1020.000,,165.8100,
1926-06-03,1010.000,,165.7700,
1926-06-04,1010.000,,165.7800,
1926-06-05,1010.000,,165.7700,
1926-06-06,988.000,,165.7000,
1926-06-07,951.000,,165.5600,
1926-06-08,909.000,,165.4000,
1926-06-09,875.000,,165.2600,
1926-06-10,838.000,,165.1100,
1926-06-11,813.000,,165.0200,
1926-06-12,773.000,,164.8600,
1926-06-13,702.000,,164.5800,
1926-06-14,708.000,,164.6000,
1926-06-15,671.000,,164.4500,
1926-06-16,643.000,,164.3400,
1926-06-17,620.000,,164.2500,
1926-06-18,595.000,,164.1600,
1926-06-19,572.000,,164.0600,
1926-06-20,555.000,,163.9900,
1926-06-21,538.000,,163.9200,
1926-06-22,521.000,,163.8500,
1926-06-23,498.000,,163.7700,
1926-06-24,496.000,,163.7500,
1926-06-25,476.000,,163.6700,
1926-06-26,467.000,,163.6300,
1926-06-27,470.000,,163.6500,
1926-06-28,476.000,,163.6800,
1926-06-29,487.000,,163.7100,
1926-06-30,493.000,,163.7400,
1926-07-01,510.000,,163.8100,
1926-07-02,524.000,,163.8600,
1926-07-03,524.000,,163.8600,
1926-07-04,498.000,,163.7600,
1926-07-05,487.000,,163.7200,
1926-07-06,476.000,,163.6700,
1926-07-07,459.000,,163.6000,
1926-07-08,445.000,,163.5300,
1926-07-09,422.000,,163.4500,
1926-07-10,433.000,,163.4900,
1926-07-11,450.000,,163.5700,
1926-07-12,470.000,,163.6400,
1926-07-13,484.000,,163.7100,
1926-07-14,504.000,,163.7900,
1926-07-15,515.000,,163.8200,
1926-07-16,530.000,,163.8900,
1926-07-17,541.000,,163.9400,
1926-07-18,555.000,,163.9900,
1926-07-19,547.000,,163.9600,
1926-07-20,555.000,,163.9900,
1926-07-21,532.000,,163.9000,
1926-07-22,518.000,,163.8400,
1926-07-23,496.000,,163.7500,
1926-07-24,479.000,,163.6900,
1926-07-25,436.000,,163.5100,
1926-07-26,430.000,,163.4900,
1926-07-27,405.000,,163.3700,
1926-07-28,365.000,,163.2100,
1926-07-29,348.000,,163.1400,
1926-07-30,337.000,,163.0900,
1926-07-31,317.000,,163.0200,
1926-08-01,303.000,,162.9500,
1926-08-02,289.000,,162.9000,
1926-08-03,282.000,,162.9100,
1926-08-04,263.000,,162.8000,
1926-08-05,255.000,,162.7600,
1926-08-06,247.000,,162.7200,
1926-08-07,240.000,,162.6900,
1926-08-08,244.000,,162.7100,
1926-08-09,251.000,,162.7400,
1926-08-10,266.000,,162.8100,
1926-08-11,263.000,,162.8000,
1926-08-12,262.000,,162.7900,
1926-08-13,260.000,,162.7800,
1926-08-14,252.000,,162.7400,
1926-08-15,240.000,,162.6900,
1926-08-16,235.000,,162.6700,
1926-08-17,218.000,,162.5800,
1926-08-18,212.000,,162.7600,
1926-08-19,207.000,,162.5200,
1926-08-20,203.000,,162.5800,
1926-08-21,199.000,,162.4800,
1926-08-22,190.000,,162.4300,
1926-08-23,189.000,,162.4200,
1926-08-24,188.000,,162.4200,
1926-08-25,182.000,,162.3800,
1926-08-26,183.000,,162.3900,
1926-08-27,180.000,,162.3700,
1926-08-28,172.000,,162.3300,
1926-08-29,170.000,,162.3200,
1926-08-30,171.000,,162.3200,
1926-08-31,157.000,,162.2300,
1926-09-01,157.000,,162.2300,
1926-09-02,157.000,,162.2300,
1926-09-03,152.000,,162.2000,
1926-09-04,149.000,,162.1800,
1926-09-05,145.000,,162.1500,
1926-09-06,147.000,,162.1700,
1926-09-07,146.000,,162.1600,
1926-09-08,143.000,,162.1400,
1926-09-09,145.000,,162.1500,
1926-09-10,142.000,,162.1400,
1926-09-11,142.000,,162.1300,
1926-09-12,137.000,,162.1000,
1926-09-13,136.000,,162.1000,
1926-09-14,137.000,,162.1000,
1926-09-15,135.000,,162.0800,
1926-09-16,133.000,,162.0700,
1926-09-17,133.000,,162.0700,
1926-09-18,135.000,,162.0800,
1926-09-19,136.000,,162.0900,
1926-09-20,133.000,,162.0700,
1926-09-21,133.000,,162.0700,
1926-09-22,135.000,,162.0800,
1926-09-23,135.000,,162.0900,
1926-09-24,144.000,,162.1400,
1926-09-25,150.000,,162.1800,
1926-09-26,154.000,,162.2100,
1926-09-27,155.000,,162.2200,
1926-09-28,156.000,,162.2200,
1926-09-29,154.000,,162.2100,
1926-09-30,151.000,,162.1900,
1926-10-01,,,162.1700,
1926-10-02,,,162.1400,
1926-10-03,,,162.1100,
1926-10-04,,,162.0800,
1926-10-05,,,162.0800,
1926-10-06,,,162.0400,
1926-10-07,,,162.0200,
1926-10-08,,,162.0000,
1926-10-09,,,161.9700,
1926-10-10,,,161.9600,
1926-10-11,,,161.9500,
1926-10-12,,,161.9300,
1926-10-13,,,161.9300,
1926-10-14,,,161.9600,
1926-10-15,,,162.0100,
1926-10-16,,,162.0300,
1926-10-17,,,162.0500,
1926-10-18,,,162.0700,
1926-10-19,,,162.0900,
1926-10-20,,,162.1100,
1926-10-21,,,162.1400,
1926-10-22,,,162.1300,
1926-10-23,,,162.2100,
1926-10-24,,,162.2500,
1926-10-25,,,162.2900,
1926-10-26,,,162.4700,
1926-10-27,,,162.5700,
1926-10-28,,,162.6700,
1926-10-29,,,162.7400,
1926-10-30,,,162.8200,
1926-10-31,,,162.9200,
1926-11-01,,,162.9900,
1926-11-02,,,163.0700,
1926-11-03,,,163.1300,
1926-11-04,,,163.1600,
1926-11-05,,,163.1600,
1926-11-06,,,163.1300,
1926-11-07,,,163.0800,
1926-11-08,,,163.0500,
1926-11-09,,,163.0900,
1926-11-10,,,163.1300,
1926-11-11,,,163.2600,
1926-11-12,,,163.4100,
1926-11-13,,,163.4600,
1926-11-14,,,163.5000,
1926-11-15,,,163.4900,
1926-11-16,,,163.6500,
1926-11-17,,,164.1400,
1926-11-18,,,164.7600,
1926-11-19,,,165.0700,
1926-11-20,,,165.2200,
1926-11-21,,,165.2300,
1926-11-22,,,165.2600,
1926-11-23,,,165.1600,
1926-11-24,,,165.1300,
1926-11-25,,,165.0100,
1926-11-26,,,164.8300,
1926-11-27,,,164.8300,
1926-11-28,,,164.7500,
1926-11-29,,,164.7700,
1926-11-30,,,164.7000,
1926-12-01,,,164.6800,
1926-12-02,,,164.6600,
1926-12-03,,,164.6300,
1926-12-04,,,164.5100,
1926-12-05,,,164.4800,
1926-12-06,,,164.4200,
1926-12-07,,,164.4300,
1926-12-08,,,164.4700,
1926-12-09,,,164.4300,
1926-12-10,,,164.4600,
1926-12-11,,,164.4200,
1926-12-12,,,164.3700,
1926-12-13,,,164.3300,
1926-12-14,,,164.2400,
1926-12-15,,,164.1200,
1926-12-16,,,164.0800,
1926-12-17,,,164.0400,
1926-12-18,,,163.9500,
1926-12-19,,,163.9500,
1926-12-20,,,163.9600,
1926-12-21,,,163.9600,
1926-12-22,,,163.9700,
1926-12-23,,,163.9800,
1926-12-24,,,163.9900,
1926-12-25,,,164.0100,
1926-12-26,,,164.0300,
1926-12-27,,,164.0600,
1926-12-28,,,164.0600,
1926-12-29,,,164.0600,
1926-12-30,,,164.0600,
1926-12-31,,,164.0600,
1927-01-01,,,164.0700,
1927-01-02,,,164.0700,
1927-01-03,,,164.0900,
1927-01-04,,,164.1000,
1927-01-05,,,164.1100,
1927-01-06,,,164.0500,
1927-01-07,,,164.0300,
1927-01-08,,,163.9900,
1927-01-09,,,163.9400,
1927-01-10,,,163.9200,
1927-01-11,,,163.9000,
1927-01-12,,,163.9500,
1927-01-13,,,163.9500,
1927-01-14,,,163.9400,
1927-01-15,,,164.0300,
1927-01-16,,,164.0500,
1927-01-17,,,164.0900,
1927-01-18,,,164.0900,
1927-01-19,,,164.0800,
1927-01-20,,,164.0300,
1927-01-21,,,163.9900,
1927-01-22,,,163.9400,
1927-01-23,,,163.9100,
1927-01-24,,,163.9000,
1927-01-25,,,163.8900,
1927-01-26,,,163.8900,
1927-01-27,,,163.8900,
1927-01-28,,,163.9000,
1927-01-29,,,163.8500,
1927-01-30,,,163.8000,
1927-01-31,,,163.7600,
1927-02-01,,,163.6900,
1927-02-02,,,163.6500,
1927-02-03,,,163.6100,
1927-02-04,,,163.6000,
1927-02-05,,,163.5800,
1927-02-06,,,163.5600,
1927-02-07,,,163.5400,
1927-02-08,,,162.9000,
1927-02-09,,,163.4500,
1927-02-10,,,163.4200,
1927-02-11,,,163.3900,
1927-02-12,,,163.3400,
1927-02-13,,,163.2800,
1927-02-14,,,163.2700,
1927-02-15,,,163.2500,
1927-02-16,,,163.2200,
1927-02-17,,,163.2000,
1927-02-18,,,163.1600,
1927-02-19,,,163.1300,
1927-02-20,,,163.0900,
1927-02-21,,,163.0800,
1927-02-22,,,163.0600,
1927-02-23,,,163.0500,
1927-02-24,,,163.0400,
1927-02-25,,,163.0100,
1927-02-26,,,163.0000,
1927-02-27,,,162.9900,
1927-02-28,,,162.9400,
1927-03-01,,,163.1300,
1927-03-02,,,163.0100,
1927-03-03,,,162.9900,
1927-03-04,,,162.8600,
1927-03-05,,,162.8200,
1927-03-06,,,162.8100,
1927-03-07,,,162.7900,
1927-03-08,,,162.8000,
1927-03-09,,,162.7900,
1927-03-10,,,162.7600,
1927-03-11,,,162.7400,
1927-03-12,,,163.0300,
1927-03-13,,,163.0200,
1927-03-14,,,162.7600,
1927-03-15,,,162.8300,
1927-03-16,,,163.2500,
1927-03-17,,,163.0700,
1927-03-18,,,163.2900,
1927-03-19,,,163.3400,
1927-03-20,,,163.3700,
1927-03-21,,,163.4700,
1927-03-22,,,163.4600,
1927-03-23,,,163.4800,
1927-03-24,,,163.4400,
1927-03-25,,,163.3800,
1927-03-26,,,163.2500,
1927-03-27,,,163.2500,
1927-03-28,,,163.2600,
1927-03-29,,,163.1400,
1927-03-30,,,163.1200,
1927-03-31,,,163.0700,
1927-04-01,,,162.9300,
1927-04-02,,,162.3400,
1927-04-04,,,162.1700,
1927-04-08,,,162.1000,
1927-04-09,,,162.1000,
1927-04-10,,,161.8100,
1927-04-11,,,162.1400,
1927-04-12,,,162.1100,
1927-04-13,,,161.9700,
1927-04-14,,,161.5300,
1927-04-15,,,161.5800,
1927-04-16,,,161.5800,
1927-04-17,,,161.6300,
1927-04-18,,,161.7100,
1927-04-19,,,161.8000,
1927-04-20,,,161.9100,
1927-04-21,,,161.9200,
1927-04-22,,,162.0100,
1927-04-23,,,162.0500,
1927-04-24,,,162.0700,
1927-04-25,,,162.0300,
1927-04-26,,,162.0000,
1927-04-27,,,161.9700,
1927-04-28,,,162.0100,
1927-04-29,,,162.0000,
1927-04-30,,,161.9700,
